player_id;player_name;position;matches_played;matches_started;minutes_played;minutes_per_match;goals;goals_per_match;assists;assists_per_match;yellow_cards;red_cards;total_cards;cards_per_match;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;save_percentage
512;Gonzalo Jordy Plata;FWD;4;4;360;90;1;0,25;0;0,0;1;0;1;0,25;0;0;;;;
513;Nilson David Angulo;FWD;4;2;217;109;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
514;Alan Steven Franco;MID;4;4;255;64;0;0,0;0;0,0;2;0;2;0,5;0;0;;;;
515;Gonzalo Roberto Valle;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
516;Moisés Isaac Caicedo;MID;4;4;360;90;0;0,0;1;0,25;1;0;1;0,25;0;0;;;;
517;Jeremy Alberto Arevalo;FWD;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
518;Jackson Gabriel Porozo;DEF;1;0;28;0;0;0,0;0;0,0;1;0;1;1,0;0;0;;;;
519;Yaimar Abel Medina;DEF;1;0;44;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
520;Bart Verbruggen;GK;4;4;390;98;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;12,0;5,0;70,6
521;Lutsharel Emiliano Geertruida;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
522;Marten Elco De Roon;MID;1;0;10;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
523;Virgil Van Dijk;DEF;4;4;390;98;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
524;Nathan Benjamin Ake;DEF;3;2;170;85;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
525;Paul Jan-Paul Van Hecke;DEF;4;4;390;98;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
526;Justin Dean Kluivert;MID;2;0;25;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
527;Ryan Jiro Gravenberch;MID;4;4;347;87;0;0,0;2;0,5;0;0;0;0,0;0;0;;;;
528;Wout François Maria Weghorst;FWD;1;0;49;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
529;Memphis Depay;FWD;3;0;51;0;0;0,0;1;0,33;1;0;1;0,33;0;0;;;;
530;Cody Mathès Gakpo;FWD;4;4;372;93;3;0,75;1;0,25;0;0;0;0,0;0;0;;;;
531;Mats Henrik Berne Wieffer;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
532;Robin Gerardus Petrus Roefs;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
533;Tijjani Martinus Jan Reijnders;MID;3;3;201;67;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
534;Micky Van De Ven;DEF;3;3;266;89;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
